waypoint1	waypoint2	distance_m	duration_s
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Boulder Mountain Park, Boulder, CO	1269775	40126
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Powell Slough Waterfowl Management Area, Orem, UT	637175	19664
Red Rock Canyon National Conservation Area, Nevada 159, Las Vegas, NV	Cherry Creek State Park, South Parker Road, Aurora, CO	1311198	45315
Indian Island, Eureka, CA	University of California, Santa Cruz, High Street, Santa Cruz, CA	560455	21803
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Lake Tahoe State Park, Nevada 28, Incline Village, NV	2758721	89940
Monticello, Thomas Jefferson Parkway, Charlottesville, VA	Indian Island, Eureka, CA	4720201	155423
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Powell Slough Waterfowl Management Area, Orem, UT	2001505	69925
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Cherry Creek State Park, South Parker Road, Aurora, CO	1445943	48466
Cherry Creek State Park, South Parker Road, Aurora, CO	Burnside Bridge, Portland, OR	2016214	66091
Theodore Wirth Park, Theodore Wirth Parkway, Minneapolis, MN	Congress Street, Portland, ME	2408702	79870
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Oriole Park At Camden Yards, West Camden Street, Baltimore, MD	4398987	142834
Trancas Crossing Park, Trancas Street, Napa, CA	2131 West Cortez Street, Chicago, IL	3390955	109021
Cheatham Wildlife Management Area, Ashland City, TN	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	928794	30867
Big Bend National Park, TX	Golden Gate Park, San Francisco, CA	2440444	81626
Grand Teton National Park, Teton County, WY	Mount Whitney, Inyo County, CA	1398926	48627
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	Yosemite National Park, CA	966105	32703
Atalaya Mountain, Santa Fe, NM	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	1223699	39634
Bonneville Salt Flats, Tooele County, UT	Yosemite National Park, CA	708878	26048
Bonneau Ferry Wildlife Management Area, South Carolina 402, Cordesville, SC	Big Sur, Monterey County, CA	4356263	143992
The Queen Mary, Queens Highway, Long Beach, CA	Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	788670	25681
Parc national du Mont-Saint-Bruno, St-Bruno-de-Montarville, QC, Canada	Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	4748657	153278
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Burnside Bridge, Portland, OR	1513831	51399
Lake Tahoe State Park, Nevada 28, Incline Village, NV	Golden Gate Park, San Francisco, CA	341029	13571
Cherry Creek State Park, South Parker Road, Aurora, CO	University of California, Santa Cruz, High Street, Santa Cruz, CA	2132773	69638
Beacon Hill Park, Victoria, BC, Canada	Grand Canyon National Park, AZ	2246898	81984
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Grand Canyon National Park, AZ	2761172	89925
Powell Slough Waterfowl Management Area, Orem, UT	Golden Gate Park, San Francisco, CA	1265162	41031
Lake Superior Brewing Co, West Superior Street, Duluth, MN	Burnside Bridge, Portland, OR	2793670	92543
Cherokee Marsh State Fishery Area, Madison, WI	Coachella Valley Fringe-Toed Lizard Preserve, Thousand Palms, CA	3166752	103115
Walnut Canyon National Monument, Walnut Canyon Road, Flagstaff, AZ	N Dean St & E Texas St, Marfa, TX 79843	1135512	37779
Congress Street, Portland, ME	Apache Cafe, 3rd Street Northwest, Atlanta, GA	1895513	64173
Museum of Contemporary Art Santa Barbara, Santa Barbara, CA	Monticello, Thomas Jefferson Parkway, Charlottesville, VA	4246565	135893
Cheatham Wildlife Management Area, Ashland City, TN	Discovery Park, Discovery Park Boulevard, Seattle, WA	3851808	125592
De las Flores, San Quintin, Mexico	4919 Cave Run Drive, Houston, TX	2660323	88219
113 Mill Creek Road, South Chatham, MA	N Dean St & E Texas St, Marfa, TX 79843	3770691	123425
Grand Teton National Park, Teton County, WY	10 Witherell Street, Detroit, MI	2617220	85673
Cherry Creek State Park, South Parker Road, Aurora, CO	Red Rocks Park, Central Avenue, South Burlington, VT	3050765	102166
